atom    mass   rad   ang     r(vd) E(vd)  S(vd)  Z*    T_3   DE   Hatom Mb Hy
Tl3+3 204.3700 1.518 120.000 4.347 0.680 11.000 2.128 0.000 100.0 100.0  4  3 1
Pb3   207.2000 1.459 109.471 4.297 0.663 12.000 2.928 0.100 100.0 100.0  4  3 
Bi3+3 208.9800 1.512  90.000 4.370 0.518 13.000 2.541 3.000 100.0 100.0  4  3 3
Po3+2 210.0000 1.500  90.000 4.709 0.325 14.000 2.400 0.300 100.0 100.0  4  3 
At    210.0000 1.545 180.000 4.750 0.284 15.000 2.300 0.000 100.0 100.0  4  0 4
Rn4+4 222.0000 1.420  90.000 4.765 0.248 16.000 0.600 0.000 100.0 100.0  6  0 
Fr    223.0000 2.880 180.000 4.900 0.050 12.000 1.900 0.000 100.0 100.0  6  0 1
Ra6+2 226.0000 2.512  90.000 3.677 0.404 12.000 3.000 0.000 100.0 100.0  6  3 
Ac6+3 227.0000 1.983  90.000 3.478 0.033 12.000 4.000 0.000 100.0 100.0  6  6 6
Th6+4 232.0400 1.721  90.000 3.396 0.026 12.000 4.323 0.000 100.0 100.0  6  6 
Pa6+4 231.0000 1.711  90.000 3.424 0.022 12.000 4.000 0.000 100.0 100.0  6  6 6
U_6+4 238.0300 1.684  90.000 3.395 0.022 12.000 4.000 0.000 100.0 100.0  6  6 
Np6+4 237.0000 1.666  90.000 3.424 0.019 12.000 4.000 0.000 100.0 100.0  6  6 6
Pu6+4 244.0000 1.657  90.000 3.424 0.016 12.000 4.000 0.000 100.0 100.0  6  6 
Am6+4 243.0000 1.660  90.000 3.381 0.014 12.000 4.000 0.000 100.0 100.0  6  6 6
Cm6+3 245.0000 1.801  90.000 3.326 0.013 12.000 4.000 0.000 100.0 100.0  6  6 
Bk6+3 247.0000 1.761  90.000 3.339 0.013 12.000 4.000 0.000 100.0 100.0  6  6 6
Cf6+3 249.0000 1.750  90.000 3.313 0.013 12.000 4.000 0.000 100.0 100.0  6  6 
Es6+3 254.0000 1.724  90.000 3.299 0.012 12.000 4.000 0.000 100.0 100.0  6  6 6
Fm6+3 255.0000 1.712  90.000 3.286 0.012 12.000 4.000 0.000 100.0 100.0  6  6 
Md6+3 256.0000 1.689  90.000 3.274 0.011 12.000 4.000 0.000 100.0 100.0  6  6 6
No6+3 254.0000 1.679  90.000 3.248 0.011 12.000 4.000 0.000 100.0 100.0  6  6 
Lw6+3 257.0000 1.698  90.000 3.236 0.011 12.000 4.000 0.000 100.0 100.0  6  6 6
CpR    12.0110 0.637 120.000 3.851 0.000 12.730 1.967 0.000 100.0 100.0  6  6 
CiR    12.0110 0.637 120.000 3.851 0.000 12.730 1.967 0.000 100.0 100.0  6  6 5
PiR    12.0110 0.637 120.000 3.851 0.000 12.730 1.967 0.000 100.0 100.0  6  6 


