 H140     C206     S200      THETA_HARM      70.0000  109.5000
 H140     C209     S202      THETA_HARM      70.0000  109.5000
 H140     C210     S202      THETA_HARM      70.0000  109.5000
 H140     C214     S203      THETA_HARM      70.0000  109.5000
 H140     C223     N238      THETA_HARM      70.0000  109.5000
 H140     C224     N238      THETA_HARM      70.0000  109.5000
 H140     C242     N238      THETA_HARM      70.0000  109.5000
 H140     C245     N239      THETA_HARM      70.0000  109.5000
 H140     C246     N239      THETA_HARM      70.0000  109.5000
 H140     C283     N238      THETA_HARM      70.0000  109.5000
 H140     C284     N238      THETA_HARM      70.0000  109.5000
 H140     C285     N239      THETA_HARM      70.0000  109.5000
 H140     C292     N287      THETA_HARM      70.0000  109.5000
 H140     C293     N287      THETA_HARM      70.0000  109.5000
 H140     C295     N309      THETA_HARM      70.0000  109.5000
 H140     C296     N309      THETA_HARM      70.0000  109.5000
 H140     C307     N303      THETA_HARM      70.0000  109.5000
 H146     C506     N503      THETA_HARM      70.0000  120.0000
 H146     C506     N511      THETA_HARM      70.0000  120.0000
 H146     C507     N511      THETA_HARM      70.0000  120.0000
 H146     C508     N503      THETA_HARM      70.0000  121.6000
 H146     C509     N512      THETA_HARM      70.0000  120.0000
 H146     C510     N512      THETA_HARM      70.0000  120.0000
 H146     C514     N503      THETA_HARM      70.0000  121.6000
 H240     N237     H240      THETA_HARM      70.0000  120.0000
 H301     N300     H301      THETA_HARM      70.0000  120.0000
 N237     C235     O236      THETA_HARM     160.0000  122.9000
 N238     C235     O236      THETA_HARM     160.0000  122.9000
 N239     C235     O236      THETA_HARM     160.0000  122.9000
 N300     C302     N300      THETA_HARM     140.0000  120.0000
 N300     C302     N303      THETA_HARM     140.0000  120.0000
 N503     C506     N511      THETA_HARM     140.0000  120.0000
 N512     C509     N512      THETA_HARM     140.0000  120.0000
 O268     C267     O269      THETA_HARM     160.0000  121.0000
 O272     C271     O272      THETA_HARM     160.0000  126.0000
